Date,Event,Location,Category,Known/Estimated victims,Assessed perpetrator,Key details,Sources
2013-08-21,Large-scale sarin attack on Eastern & Western Ghouta,"Ghouta, Damascus",Chemical weapons,Hundreds killed; mass casualties (UN),UN confirmed use; attribution not in UN mission report,"UN mission verified chemical weapons used on a relatively large scale against civilians, incl. children.",https://digitallibrary.un.org/record/762282/files/A_68_663--S_2013_735-EN.pdf
2017-03-24/25/30,Ltamenah attacks (sarin on 24 & 30 Mar; chlorine on 25 Mar),"Ltamenah, Hama",Chemical weapons,Dozens affected across incidents,OPCW IIT: Syrian Arab Air Force units,OPCW IIT first report attributed sarin and chlorine uses to specific Syrian Air Force units/airbase.,https://www.opcw.org/sites/default/files/documents/2020/04/s-1867-2020%28e%29.pdf; https://www.theguardian.com/world/2020/apr/08/syrian-regime-blamed-for-using-sarin-gas-in-landmark-opcw-report
2017-04-04,Khan Shaykhun sarin attack,"Khan Shaykhun, Idlib",Chemical weapons,At least 90 killed; hundreds injured (various),UN/OPCW JIM: Government of Syria responsible,OPCW FFM confirmed sarin exposure; JIM later attributed responsibility to Syrian gov.,https://www.opcw.org/sites/default/files/documents/Fact_Finding_Mission/s-1510-2017_e_.pdf; https://docs.un.org/en/S/2017/904
2018-02-04,Saraqib chlorine attack,"Saraqib, Idlib",Chemical weapons,At least 12 injured (open-source),OPCW IIT: Syrian Arab Air Force units,Cylinder released chlorine after helicopter drop; IIT concluded Syrian AF responsibility.,https://www.opcw.org/media-centre/news/2021/04/opcw-releases-second-report-investigation-and-identification-team
2018-04-07,Douma chlorine attack,"Douma, Rif Dimashq",Chemical weapons,43 killed (OPCW),OPCW IIT: Syrian Arab Air Force,Two chlorine cylinders dropped by Mi-8/17 helicopters; fatalities mainly in a ground-floor apartment.,https://www.opcw.org/sites/default/files/documents/2023/01/s-2125-2023%28e%29.pdf; https://www.opcw.org/media-centre/news/2023/01/opcw-releases-third-report-investigation-and-identification-team
2015-09-30,Russia begins airstrikes in Syria,Multiple (initially Homs/Hama per reports),Russian intervention,Not stated (start of campaign),Russian Armed Forces (in support of Syrian gov.),Federation Council authorized deployment; Russian MoD announced first strikes the same day.,https://www.reuters.com/article/world/russia-begins-syria-air-strikes-in-its-biggest-mideast-intervention-in-decades-idUSKCN0RU0MF/; https://time.com/4055405/russia-airstrikes-syria/
2016-09/10,Aleppo month-long bombardment campaign,Eastern Aleppo,Indiscriminate bombardment/war crimes,HRW: 440 civilians incl. 90 children in a month,Russia–Syria coalition,HRW documented war crimes incl. attacks on hospitals; UN urged halt to unlawful strikes.,https://www.hrw.org/news/2016/12/01/russia/syria-war-crimes-month-bombing-aleppo; https://www.hrw.org/news/2016/10/03/un-demand-end-unlawful-aleppo-attacks
2018-2019-2020,Attacks on deconflicted hospitals/schools in NW Syria,Idlib & Aleppo countrysides,Attacks on protected sites,Numerous; figures vary by incident,UN BoI: Highly probable Gov. of Syria and/or its allies for most incidents,UN SG Board of Inquiry reviewed attacks on deconflicted sites; found likely responsibility.,https://www.un.org/sg/sites/www.un.org.sg/files/atoms/files/NWS_BOI_Summary_06_April_2020.pdf; https://www.securitycouncilreport.org/monthly-forecast/2020-05/syria-19.php
2019-04 to 2020-03,Idlib offensive targeting civilian infrastructure,Idlib governorate,Indiscriminate bombardment/war crimes,Hundreds of civilians (HRW),Syrian & Russian forces,"HRW documented 46 unlawful strikes on hospitals, schools, markets; apparent war crimes.",https://www.hrw.org/report/2020/10/15/targeting-life-idlib/syrian-and-russian-strikes-civilian-infrastructure
2011-2015 (pattern),Mass hangings & extermination-style conditions at Saydnaya Prison,"Saydnaya, Rif Dimashq",Detention/torture/execution,"Up to 13,000 secretly hanged; thousands tortured/starved",Syrian authorities,Amnesty’s ‘Human Slaughterhouse’: widespread & systematic abuses likely authorized at highest levels.,https://www.amnesty.org/en/wp-content/uploads/2021/05/MDE2454152017ENGLISH.pdf; https://www.amnesty.org/en/documents/mde24/5415/2017/en/
